"Izquierda","Derecha","Actor","Mismo_Padre","Caracteres_Izquierda","Caracteres_Derecha","Fuente_Izquierda","Fuente_Derecha","Motivos_Izquierda","Motivos_Derecha","Indicadores","Estado","Estado_Lote3"
"RPM-2013-03-14:5452:1","RPM-2013-03-14:5453:1","Rodrigo Vergara Montes","False","2360","3773","SUJETO_ROL_NOMBRE","SUJETO_ROL_NOMBRE","","","TIPO_ACTA_O_DOCUMENTO","INVENTARIO_NO_APROBACION","FUERA_DE_ESTE_LOTE_NO_ADJUDICADO"
"RPM-2013-04-11:5513:1","RPM-2013-04-11:5514:1","Rodrigo Vergara Montes","False","2155","2506","SUJETO_ROL_NOMBRE","SUJETO_ROL_NOMBRE","","","TIPO_ACTA_O_DOCUMENTO","INVENTARIO_NO_APROBACION","FUERA_DE_ESTE_LOTE_NO_ADJUDICADO"
"RPM-2013-05-16:5565:1","RPM-2013-05-16:5566:1","Rodrigo Vergara Montes","False","1991","3691","SUJETO_ROL_NOMBRE","SUJETO_ROL_NOMBRE","","","TIPO_ACTA_O_DOCUMENTO","INVENTARIO_NO_APROBACION","FUERA_DE_ESTE_LOTE_NO_ADJUDICADO"
"RPM-2013-06-13:5633:1","RPM-2013-06-13:5634:1","Rodrigo Vergara Montes","False","4446","1635","SUJETO_ROL_NOMBRE","SUJETO_ROL_NOMBRE","","","TIPO_ACTA_O_DOCUMENTO","INVENTARIO_NO_APROBACION","FUERA_DE_ESTE_LOTE_NO_ADJUDICADO"
"RPM-2013-07-11:5698:1","RPM-2013-07-11:5699:1","Rodrigo Vergara Montes","False","4418","1776","SUJETO_ROL_NOMBRE","SUJETO_ROL_NOMBRE","","","TIPO_ACTA_O_DOCUMENTO","INVENTARIO_NO_APROBACION","FUERA_DE_ESTE_LOTE_NO_ADJUDICADO"
"RPM-2013-08-13:5751:1","RPM-2013-08-13:5752:1","Rodrigo Vergara Montes","False","4670","1860","SUJETO_ROL_NOMBRE","SUJETO_ROL_NOMBRE","","","TIPO_ACTA_O_DOCUMENTO","INVENTARIO_NO_APROBACION","FUERA_DE_ESTE_LOTE_NO_ADJUDICADO"
"RPM-2013-09-12:5811:1","RPM-2013-09-12:5812:1","Rodrigo Vergara Montes","False","5544","382","SUJETO_ROL_NOMBRE","SUJETO_ROL_NOMBRE","","","TIPO_ACTA_O_DOCUMENTO","INVENTARIO_NO_APROBACION","FUERA_DE_ESTE_LOTE_NO_ADJUDICADO"
"RPM-2013-10-17:5856:1","RPM-2013-10-17:5857:1","Rodrigo Vergara Montes","False","4140","1579","SUJETO_ROL_NOMBRE","SUJETO_ROL_NOMBRE","","","TIPO_ACTA_O_DOCUMENTO","INVENTARIO_NO_APROBACION","FUERA_DE_ESTE_LOTE_NO_ADJUDICADO"
"RPM-2013-11-19:5892:1","RPM-2013-11-19:5892:2","Rodrigo Vergara Montes","True","123","387","SUJETO_ROL_NOMBRE","LECTOR_DOCUMENTO_REVISADO","","","DERECHA_SIN_FUENTE_PROPAGABLE","INVENTARIO_NO_APROBACION","FUERA_DE_ESTE_LOTE_NO_ADJUDICADO"
"RPM-2013-11-19:5902:1","RPM-2013-11-19:5903:1","Rodrigo Vergara Montes","False","1435","3954","SUJETO_ROL_NOMBRE","SUJETO_ROL_NOMBRE","","","TIPO_ACTA_O_DOCUMENTO","INVENTARIO_NO_APROBACION","FUERA_DE_ESTE_LOTE_NO_ADJUDICADO"
"RPM-2013-12-12:5961:1","RPM-2013-12-12:5962:1","Rodrigo Vergara Montes","False","1651","4905","SUJETO_ROL_NOMBRE","SUJETO_ROL_NOMBRE","","","TIPO_ACTA_O_DOCUMENTO","INVENTARIO_NO_APROBACION","FUERA_DE_ESTE_LOTE_NO_ADJUDICADO"
"RPM-2014-01-16:5999:1","RPM-2014-01-16:5999:2","Rodrigo Vergara Montes","True","132","392","SUJETO_ROL_NOMBRE","LECTOR_DOCUMENTO_REVISADO","DUPLICADO_NO_FORMULA","","DERECHA_SIN_FUENTE_PROPAGABLE","INVENTARIO_NO_APROBACION","FUERA_DE_ESTE_LOTE_NO_ADJUDICADO"
"RPM-2014-01-16:6005:1","RPM-2014-01-16:6006:1","Rodrigo Vergara Montes","False","1557","3644","SUJETO_ROL_NOMBRE","SUJETO_ROL_NOMBRE","","","TIPO_ACTA_O_DOCUMENTO","INVENTARIO_NO_APROBACION","FUERA_DE_ESTE_LOTE_NO_ADJUDICADO"
"RPM-2014-02-18:6054:1","RPM-2014-02-18:6055:1","Rodrigo Vergara Montes","False","1462","2728","SUJETO_ROL_NOMBRE","SUJETO_ROL_NOMBRE","","","TIPO_ACTA_O_DOCUMENTO","INVENTARIO_NO_APROBACION","FUERA_DE_ESTE_LOTE_NO_ADJUDICADO"
