ID_Turno,Fecha,Anio,Actor_Final,Rol_Final,Grupo_Actor,Naturaleza_Turno,Palabras,Lex_Score,HD_Score_Modelo,HD_Clase_Modelo,Margen,HD_Confianza_Modelo,En_Universo_Entrenado,En_Muestra_500,HD_Score_Oro,HD_Clase_Oro
RPM-2009-11-12:T66,2009-11-12,2009,Andrés Velasco Brañes,Ministro de Hacienda,HACIENDA,INTERVENCION,805,0.0,-0.8624,DOVISH,0.8624,0.9157,true,true,-0.75,DOVISH
RPM-2009-11-12:T67,2009-11-12,2009,José De Gregorio Rebeco,Presidente del Banco Central,CONSEJO,INTERVENCION,24,0.0,-0.8819,DOVISH,0.8819,0.9325,false,false,,
RPM-2009-11-12:T68,2009-11-12,2009,Sebastián Claro Edwards,Consejero,CONSEJO,INTERVENCION,824,0.3333,-0.0269,NEUTRAL,0.7547,0.8454,true,false,,
RPM-2009-11-12:T69,2009-11-12,2009,Enrique Marshall Rivera,Consejero,CONSEJO,INTERVENCION,52,0.0,0.0264,NEUTRAL,0.9321,0.9635,false,false,,
RPM-2009-11-12:T70,2009-11-12,2009,Enrique Marshall Rivera,Consejero,CONSEJO,INTERVENCION,1194,0.3333,0.0425,NEUTRAL,0.4764,0.6651,true,false,,
RPM-2009-11-12:T71,2009-11-12,2009,Manuel Marfán Lewis,Consejero,CONSEJO,INTERVENCION,962,0.0,-0.741,DOVISH,0.5351,0.7587,true,false,,
RPM-2009-11-12:T72,2009-11-12,2009,Jorge Desormeaux Jiménez,Vicepresidente del Banco Central,CONSEJO,INTERVENCION,1137,-0.125,-0.3877,NEUTRAL,0.1468,0.5604,true,false,,
RPM-2009-11-12:T73,2009-11-12,2009,José De Gregorio Rebeco,Presidente del Banco Central,CONSEJO,INTERVENCION,655,0.0769,-0.0735,DOVISH,0.0735,0.5095,true,false,,
RPM-2009-11-12:T74,2009-11-12,2009,Consejo del Banco Central de Chile,Consejo,CONSEJO,INSTITUCIONAL,408,0.0,-0.2556,NEUTRAL,0.1482,0.5173,false,false,,
RPM-2009-11-12:T75,2009-11-12,2009,Consejo del Banco Central de Chile,Consejo,CONSEJO,INSTITUCIONAL,30,0.0,-0.0579,NEUTRAL,0.7323,0.8408,false,false,,
RPM-2009-12-15:T1,2009-12-15,2009,Consejo del Banco Central de Chile,Consejo,CONSEJO,INSTITUCIONAL,214,0.0,-0.2506,NEUTRAL,0.2962,0.6143,false,false,,
RPM-2009-12-15:T2,2009-12-15,2009,José De Gregorio Rebeco,Presidente del Banco Central,CONSEJO,INTERVENCION,51,0.0,-0.6421,DOVISH,0.4434,0.6952,false,false,,
RPM-2009-12-15:T3,2009-12-15,2009,José De Gregorio Rebeco,Presidente del Banco Central,CONSEJO,INTERVENCION,23,0.0,-0.1952,NEUTRAL,0.5002,0.7319,false,false,,
RPM-2009-12-15:T4,2009-12-15,2009,Sergio Lehmann Beresi,Gerente de Análisis Internacional,STAFF,INTERVENCION,722,0.2,-0.0877,NEUTRAL,0.8157,0.9064,true,false,,
RPM-2009-12-15:T5,2009-12-15,2009,Manuel Marfán Lewis,Vicepresidente del Banco Central,CONSEJO,INTERVENCION,22,0.0,0.0066,NEUTRAL,0.727,0.8202,false,false,,
RPM-2009-12-15:T6,2009-12-15,2009,Sergio Lehmann Beresi,Gerente de Análisis Internacional,STAFF,INTERVENCION,90,0.0,-0.0173,NEUTRAL,0.9492,0.9719,false,false,,
