"ID_Intervencion","ID_Padre","Fecha","Actor_Final","Institucional","Fuente_Actor","Caracteres","Otras_Personas_Roster","Nombres","Motivos_Revision","Alerta_Motor","Leida_En_Lote9","Veredicto"
"RPM-2005-04-07:214:2","214","2005-04-07","Consejo del Banco Central de Chile","SI","ACTA/META","396","1","María Eugenia Wagner Brizzi","","NO","NO",""
"RPM-2005-05-12:221:1","221","2005-05-12","Consejo del Banco Central de Chile","SI","ACTA/META","1368","12","Camilo Carrasco Alfonso; Esteban Jadresic Marinovic; Jorge Desormeaux Jiménez; José De Gregorio Rebeco; Manuel Marfán Lewis; María Elena Ovalle Molina; Nicolás Eyzaguirre Guzmán; Pablo García Silva; Ricardo Vicuña Poblete; Rodrigo Valdés Pulido; Sergio Lehmann Beresi; Vittorio Corbo Lioi","","NO","NO",""
"RPM-2005-05-12:278:1","278","2005-05-12","Consejo del Banco Central de Chile","SI","ACTA/META","1950","1","Nicolás Eyzaguirre Guzmán","","NO","NO",""
"RPM-2005-06-09:279:1","279","2005-06-09","Consejo del Banco Central de Chile","SI","ACTA/META","1775","13","Camilo Carrasco Alfonso; Esteban Jadresic Marinovic; Jorge Desormeaux Jiménez; José De Gregorio Rebeco; Luis Óscar Herrera Barriga; Manuel Marfán Lewis; María Elena Ovalle Molina; Nicolás Eyzaguirre Guzmán; Pablo García Silva; Ricardo Vicuña Poblete; Rodrigo Valdés Pulido; Sergio Lehmann Beresi; Vittorio Corbo Lioi","","NO","NO",""
"RPM-2005-06-09:294:2","294","2005-06-09","Consejo del Banco Central de Chile","SI","ACTA/META","1778","1","Nicolás Eyzaguirre Guzmán","","NO","NO",""
"RPM-2005-06-09:295:1","295","2005-06-09","Consejo del Banco Central de Chile","SI","ACTA/META","134","1","José De Gregorio Rebeco","","NO","NO",""
"RPM-2005-07-12:296:1","296","2005-07-12","Consejo del Banco Central de Chile","SI","ACTA/META","1447","13","Camilo Carrasco Alfonso; Esteban Jadresic Marinovic; Jorge Desormeaux Jiménez; José De Gregorio Rebeco; Luis Óscar Herrera Barriga; Manuel Marfán Lewis; María Elena Ovalle Molina; Nicolás Eyzaguirre Guzmán; Pablo García Silva; Ricardo Vicuña Poblete; Rodrigo Valdés Pulido; Sergio Lehmann Beresi; Vittorio Corbo Lioi","","NO","NO",""
"RPM-2005-07-12:305:3","305","2005-07-12","Vittorio Corbo Lioi","NO","SUJETO_ROL_SESION","420","1","Nicolás Eyzaguirre Guzmán","FINAL_SIN_PUNTUACION","NO","SI","UNA_SOLA_VOZ"
"RPM-2005-07-12:311:1","311","2005-07-12","Consejo del Banco Central de Chile","SI","ACTA/META","134","1","José De Gregorio Rebeco","","NO","NO",""
"RPM-2005-08-11:312:1","312","2005-08-11","Consejo del Banco Central de Chile","SI","ACTA/META","1318","13","Esteban Jadresic Marinovic; Jorge Desormeaux Jiménez; José De Gregorio Rebeco; Luis Óscar Herrera Barriga; Manuel Marfán Lewis; María Elena Ovalle Molina; Miguel Ángel Nacrur Gazali; Nicolás Eyzaguirre Guzmán; Pablo García Silva; Ricardo Vicuña Poblete; Rodrigo Valdés Pulido; Sergio Lehmann Beresi; Vittorio Corbo Lioi","","NO","NO",""
"RPM-2005-09-08:367:1","367","2005-09-08","Consejo del Banco Central de Chile","SI","ACTA/META","1344","12","Enrique Marshall Rivera; Esteban Jadresic Marinovic; Jorge Desormeaux Jiménez; José De Gregorio Rebeco; Manuel Marfán Lewis; María Elena Ovalle Molina; Miguel Ángel Nacrur Gazali; Nicolás Eyzaguirre Guzmán; Pablo García Silva; Ricardo Vicuña Poblete; Rodrigo Valdés Pulido; Vittorio Corbo Lioi","","NO","NO",""
"RPM-2005-09-08:368:1","368","2005-09-08","Vittorio Corbo Lioi","NO","SUJETO_ROL_SESION","461","1","Pablo García Silva","","NO","SI","UNA_SOLA_VOZ"
